is_offensive,text
Not_offensive,100 days pakka
not-Kannada,Super sir
not-Kannada,Hands up
Not_offensive,Sari nivu video na roast madi adre madvaga pubg atava free fire games hakondo madbedi a games kooda Chinese
Not_offensive,Krishana  shapa tatteleebeku
not-Kannada,Lifestyle super guru
Not_offensive,ಕನ್ನಡ ಇವತ್ತು ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಮಟ್ಟದಲ್ಲಿ ಹೆಸರು ಮಾಡುತ್ತಿದೆ ಎಂದರೆ ಅದು ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ರವರಂತವರ ಉತ್ಸುಕತೆಯಿಂದ ಮಾತ್ರ
Not_offensive,ಕೇಳಿ ಕಾದಿರುವ ಭಾಂದವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ ಮುನ್ನುಡಿnಇದ್ದರದೊಂದು ದಂತ ಕಥೆ...nನಾಕು ದಿಕ್ಕಿನಲು ಬೇಕವನುnಬಂದೂಕು ಹಿಡಿದ ಮಾನವನುnತಲೆ ಮೇಲಿದೆ ಕಿರೀಟ...nತೀರ ಹಠ...nಗುರಿ ಬೆನ್ನಟ್ಟೋ ನೇತಾರನು!nಗಾಳಿ ಮಾತಿನ ಬಜಾರುnಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರುnಪಾತ್ರದ ಪರಿಚಯ ಇರೋರುnಆ ಬಂದೂಕಿಗೆ ಇದೆ ಘನ ಹೆಸರುnಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nಅದು ಅನವರತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nನಾ ಅಜ್ಞಾತ!nಹ್ಯಾಂಡ್ಸ್ ಅಪ್...nಇದೆ ವೇದಾಂತ..!nಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ...nnರಂಗೇರಿದೆ ಮಾಯಾ ಜಾಲnಅನುಭವಿಸು ಓ ಪ್ರೇಕ್ಷಕನೇ!nದೃಷ್ಟಿ ನನ್ನೊಬ್ಬನ ಮೇಲಿಡಿnತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ!nನನ್ನ ಗೆಲ್ಬೋದು ಅನ್ನುತnನಿಂದನು ಓರ್ವ ರಾಕ್ಷಸ!nತಪ್ಪಲ್ಲ ಆದರು ಅದುವೇnಊಹೆಗೂ ಮೀರಿದ ಸಾಹಸ!nಅನಿಸುತ್ತೆ...nಬಂದ ಹಾಗಿದೆ ರಚಿಸಲು ಹೊಸದೇ ಶಾಸನ!nಮೆರಯಲಿ ಗಗನದಲಿ ನಿಮ್ಮದೇ ಲಾಂಛನ...nಯುಧ್ಧ ಮಾಡಬೇಕು
Not_offensive,sanjukuamar chatnale ğy
Not_offensive,Hindi song release madlilva?
Not_offensive,ಶಂಕ್ರಣ್ಣ is back
Not_offensive,Trend setter! Awesome!
Not_offensive,Jeevana banda haage accept madtha sagtidira wish you good luck
Not_offensive,D. Boss abhimani kadeyinda
Not_offensive,Make avane srimanarayana part 2
Not_offensive,ತಿಪ್ಪನ ಕಥೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ  ಅಕ್ಕ
Not_offensive,ASN releasing onnKannada Dec 27nTelugu  Jan 1stnTamil Jan 3rdnMalayalam Jan 3rdnHindi Jan 17
not-Kannada,Super song bro
not-Kannada,@SS Gaming ttbn nn n JknOoop
not-Kannada,It is vvvvvvvvvsuper
Offensive_Targeted_Insult_Group,Super movie sir.. ಆದ್ರೆ ದುರಂತ ನಮ್ಮ ಪ್ರೇಕ್ಷಕ prabhugalna namboduu.. really tumbaa bejaar aytu ದಿಯಾ moviege e thara agiddu.. but prachaara kammi aytu anstide sir.. theatre inda movie hodmele saalu saalalli jana banduu keltidaare..
not-Kannada,BGM NYC  lyric
Not_offensive,D bosss fans kade inda all the best prajju
Not_offensive,Hands up yav pada pa
Offensive_Targeted_Insult_Individual,Beligge yeddhu bavige haarbekittu avaga kanasu nanasu agithithu
Not_offensive,super togari tippa
Not_offensive,@Creative Kannadiga tysm Anna....nivu comment madidakke...bt sry Anna...bcaz nan insta use madalla
not-Kannada,I love Rakshith
Not_offensive,ಬಾ ಗುರು ಹೋಗಿ ಬರೋಣ ಫುಲ್ ಕಥೆ ಕೇಳ್ಕೊಂಡು ಬರೋಣ
not-Kannada,@manju c hha
Not_offensive,Editing yar guru 🤩
Not_offensive,Lo remake alla antha hekde tane
Offensive_Untargetede,Thu nem yogyathe ge maha vishnu hesaru ettu entha movie tegitira nachige agbeku nemge
Offensive_Targeted_Insult_Individual,@Nandi Parthasarathi ನಿನ್ ಅಕ್ಕುನ್
not-Kannada,Love you boss
Offensive_Targeted_Insult_Individual,Mast maga channel nalli baro anchor tharaane nimm voice idiyalla
not-Kannada,best song ever
Offensive_Targeted_Insult_Individual,@Nandi Parthasarathi tunnel unnu gandu
Offensive_Targeted_Insult_Group,ಇಬ್ಬರು  ಕಳ್ಳರೇ
Offensive_Targeted_Insult_Other,Nanu yash sudeep darshan appu cinema bittu yardu nodalla
Not_offensive,KANNADA KAGI  LIKE ANU VATHi      n
Offensive_Targeted_Insult_Individual,@Nandi Parthasarathi ನಂದಿನಿ ನಂದಿನಿ ನಿನ್ ತುಲ್ಲ್ ಗಲೀಜು
Not_offensive,Howduu actually eee video nodakku munche Indaanu  nange ide reethi tumbaa saari hagu pade pade yeshto baari kansu beeltittu heege obbaa vyakti Shiva devastana hatra irtane naanu devastaaana dinda aache baruvaga nanna hatra idid bilpatre na keltane but duddu maatra eeskolala but hieght agirtare tanned skin tone forehead poorthi gaaya agirutte but full body ashtaag kansalli gottagallaa but ivatt eee video nodid mele mostly avre irbeku antha anstu
Offensive_Targeted_Insult_Individual,Binduge saryagi ugithidira good go ahead  we are enjoying well
Offensive_Targeted_Insult_Group,ಬೇವರ್ಸಿ ಚೀನಾ ನನ್ನ ಮಕ್ಕಳು
not-Kannada,Osm bro osm
not-Kannada,Mmmgyhvb video ⏭
Offensive_Targeted_Insult_Individual,Histu hellidri adre nimma background video pubg du kudanu Chinese howrde alwa first ninu pubg na stop madinNinu heliddu nanu tappu andilla adre hobbarige helo munche nanu correct agirabeku  k manDon't feel bad anna
Not_offensive,Nam Bhashee Kannada nJai Karnataka Jai Kannada
not-Kannada,@Nanu wt do u think ?
not-Kannada,All d best from appu fans
not-Kannada,Woww 300k + likes
Offensive_Untargetede,Channag ugide bro
Not_offensive,Super  sog ng   super dance
Not_offensive,Karavali karavali... Itte boda marre?? Film super hit aagbeku. Bere statesnavru nammatha nodbeku aste...
Offensive_Targeted_Insult_Group,ODEYA movie ginta ee movie super annoru like madi...
Not_offensive,@Samyak H P ಖಂಡಿತವಾಗಿಯೂ
Not_offensive,ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಫ್ಯಾನ್ ಆಗೋದೇ bro ನಿಮಗೆ
Offensive_Targeted_Insult_Individual,Nin naman sule Gandu boli dagar drashan
Not_offensive,ರಾಮ ರಾಮ  ತುಸು  ಧಕ್ಷ  ವೃತ  ಜಾರಿಪ.  . .
Not_offensive,Kannadigaradavaru kelage like madi kannadabhimana torisi
not-Kannada,Diya is super ....movie
Not_offensive,Dboss fansnYboss fansnKboss fans
Not_offensive,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ
Not_offensive,D boss  fans sapot iratte 100day
not-Kannada,He need break..
Not_offensive,ಕನ್ನಡ ನಾಡಿನ ಹೆಮ್ಮೆಯ ಚಿತ್ರ
Offensive_Targeted_Insult_Individual,ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ
Not_offensive,In ond trip nodbeku but but sinama chenge madbittru olle movi ge olle respans illa Nam karnatakadalli
Not_offensive,36 M nVideo viral agthila
not-Kannada,@Prajwal Kp r u mad guy?.
not-Kannada,Amazing film.. .. .. .. .. .. .. .
Not_offensive,ವಿಭಿನ್ನ ಹಾಡು...nಅದ್ಭುತ ವಾಗಿದೆ ಶೇಟ್ರೆ
not-Kannada,Give me ur mail address
not-Kannada,Tqsm bro
Offensive_Targeted_Insult_Individual,Bindu  lowda smartphones laptop kelvu brand chinade agidru nav use madtha erodakke already tax kattidivi en  munde kattod beda antha heltha erodu
Not_offensive,Making r awesome bro..avlge Ennu usbeku
Not_offensive,Hi nan nim vedios nodthini thumba funny agi roast madthira
Not_offensive,ತುಂಬಾ ಒಳ್ಳೆಯ ಮಾಹಿತಿ ನೀಡಿದ್ದೀರಿ ಸರ್ ಧನ್ಯವಾದಗಳು ನಿಮಗೆ
Not_offensive,Film benki ide gurunKannada film industry li ide Tara saviraru cinema barli
Offensive_Untargetede,Cc camera footage thegiri ..avratra keli Mahabharata story
Not_offensive,@Saathwik H R aadru avrige loss illa bron production house avru cleanaagi agreement maadkobeku alvaaa brooooo.....
not-Kannada,Good job team
not-Kannada,slum dialogue pogaru
Not_offensive,Abbbbaa super tik tok ban ayithu
Not_offensive,MY BOSS ANNA  YASH BOSS ANNA  YASH BOSS ANNA
Not_offensive,Mam osm mam ninu
Offensive_Untargetede,Main theater ella huduki sakagi hoythu
Not_offensive,ತುಂಬಾ ಒಳ್ಳೆ ಸಿನೆಮಾ.. Best movie of 2020 in kannada
Not_offensive,January Alli song keloru like madi
Not_offensive,ಸುದ್ದಿ ಮಾಡುವ ಮಾದಕ ಹಾಡು ಕೇಳಿರಿ ಎಲ್ಲರು ......HANDS UP
Not_offensive,Sir ಇದಂತೂ ದೊಡ್ಡ ಪ್ರಯತ್ನ ವಾಗಿದೆ . ನಮ್ಮ ಜನರಲ್ಲಿ ಪ್ರಾಯೋಗಿಕ ಮನೋಭಾವನೆ ಮೂಡಿಸುವ ಮತ್ತು ನಮ್ಮ ದೇಶದ  ಜನರ ನೋನೋಬನೆ ಬಗ್ಗೆ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಹೇಳಿದ್ದೀರಿ ಇಂತ ಪ್ರಯತ್ನ ಗಳಿಂದ ನಮ್ಮ ತಪ್ಪುಗಳ ಹರಿವು ಆಗುದು ಮತ್ತೆ ಬದಲಾವಣೆಗೂ ಸದ್ಯ ವಾಗುತ್ತೇ ದಯವಿಟ್ಟು ಇದೇ ತರಹದ ಇನು ಹೆಚ್ಚಿನ ವೀಡಿಯೋ ಗಳ ಅವಶ್ಯಕತೆ ಇದೇ. ನಿಮ್ಮ ಒಂದು ವಾಹಿನಿಯ ಮೂಲಕ ಜನರ ತಪ್ಪು ಹರಿವು ಆಗಬೇಕು....nನನ್ನ ಮೂಲಕ ನಿಮ್ಮ ಪ್ರಯತ್ನಕ್ಕೆ ಹೃದಯ ಪೂರಕ ಧನ್ಯವಾದಗಳು .
not-Kannada,Jai appu sir
Offensive_Targeted_Insult_Group,Osm bro 🤣🤣🤣tiktok shok madutidru avayalla 🤣🤣🤣🤣🤣
Offensive_Targeted_Insult_Individual,@Nandi Parthasarathi ಹ ನೀನು ಮುಂಡೆ ನ ಎಲ್ಲಾ ಮುಂಡೆಗಂಡಾ ನ ..?  I still confused
Offensive_Untargetede,It's amazing movie.  I think promotion sari agilla anta anista ide
Not_offensive,ಸೂಪರ್ ಗುರು vp voice ultimate
Not_offensive,ನೀವು ಹೇಳಿದ್ದರಲ್ಲಿ ಎನೂ ತಪ್ಪಿಲ್ಲ ...
Not_offensive,Suuper bro... nan idu vargu tik tok app install made illa
Not_offensive,Ee haadu Spotify dalli yaake illa
Offensive_Untargetede,ದಿಯಾ ಮತ್ತು ಲವ್ ಮಾಕಟೆಲ ಚಿತ್ರದ ಬಗ್ಗೆ ಪ್ರಚಾರ ಕಮ್ಮಿ ಆಗಿದೆ
Not_offensive,NIV helthiro Hela Mathu 100% sathya Anna
not-Kannada,Super movie especially last 30 mins
Not_offensive,Hwdu guru alredy 30 sala nodidini
Not_offensive,Tik tok banu nan kicha Sudeep fanu egide  comment madi
Offensive_Untargetede,Yavd yavd movie ge hogi dud kharch madidvi...bejaragi hogad bittivi...dia movie mobile li nodid mele theater nali nodbeku anstide...
Not_offensive,Hela Kannada people please go and watch the movieee avana Sri man Narayana Kannada cinema nodi 🤗Kannada jai Karnataka mathee
not-Kannada,Super Rakshit sir super super song super
Offensive_Untargetede,ದೇಶಕ್ಕೋಸ್ಕರ ಒಂದು app uninstall ಮಾಡೊಕೆ ಆಗಲ್ಲ ಇವರಿಗೆ ಥೂ ಇವರ ಜನ್ಮಕ್ಕೆ
not-Kannada,Wonderful movie love you DIA movie
not-Kannada,Superb new avatar
Offensive_Targeted_Insult_Individual,Views struck aagide guru
Not_offensive,Tik tok ban agirodike Nange Tumba Tumba Kushi ide happy 🥰
not-Kannada,Boss vere level🤗
Not_offensive,Nanu nodide suuuuuuuuuupppper innomme nodtini
Not_offensive,Just Woww  Super Prajju  anna!! Gud luck
Offensive_Targeted_Insult_Other,ಮೊಬೈಲಲ್ಲಿ ಅಷ್ಟೊಂದ್ ಒಳ್ಳೇ ಕ್ಲಾರಿಟಿಲಿ ಬಿಟ್ಟಿದ್ದಾರೆ. ಎಲ್ರೂ ಡೌನ್‌ಲೋಡ್ ಮಾಡ್ಕೊಂಡ್ ನೋಡ್ತಿದಾರೆ. ಥಿಯೇಟರಿಗೆ ಜನ ಬರದೇ ಇರಲು ಕಾರಣ ಮೊಬೈಲಲ್ಲಿ ಲೀಕ್ ಆಗಿರೋದು.
not-Kannada,Love from Hindi lover
Not_offensive,Super bro i am happy tik tok ban agidu super our modi ji super hero
Offensive_Untargetede,hadu tubna hucu hedseda
Not_offensive,ಪಜ್ಜು ಸರ್ ಗೆ ಒಳ್ಳೆ ಸಕ್ಸಸ್ ಸಿಗ್ಲಿ  ತುಂಬಾ ಚನ್ನಾಗಿದೆ ಟ್ರೈಲರ್
Not_offensive,Song super annuru hands up madi
Not_offensive,Avane shriman narayan movie paka 100 days
Not_offensive,Enta matu super
Not_offensive,Like father like son Jaga mechchuvanta manushya.
Not_offensive,ಕಂಚಿನ ಕಂಠದಲ್ಲಿ ಮೂಡಿ ಬಂದ ತೊಗರಿತಿಪ್ಪ ಹಳೇ ನೆನಪು ತಾಜಾ ಮಾಡಿತು
Not_offensive,ಏನೆ‌ ಆಗಲಿ ಮುಂದೆ ಸಾಗು ನಿ
Not_offensive,Hands up  ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ fans
Offensive_Targeted_Insult_Other,Super sir
Not_offensive,ನಿಮ್ಮ ಜೀವನ ಇನ್ನೂ ಚೆನ್ನಾಗಿ ಇರಲಿ
Not_offensive,ಜೈ ಕನ್ನಡ
Not_offensive,ಶಂಭು ಬಳೆಗಾರ ಸರ್ ಗೆ ತುಂಬಾ ದನ್ಯವಾದಗಳು
Offensive_Targeted_Insult_Group,ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ಬಕೆಟ್ದು ಕೆಜಿಎಫ್ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ 100 ಕೋಟಿ ಅಂತ ಪುಂಗಿಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಅಂತ ಮಾಡಿದ್ರು ಹಾಗೆ ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ ಪ್ಲಾಪ್ ಆದ್ರೆ ಹಿಟ್ ಅಂತ ಹೇಳ್ಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಮಾಡಿ 250 ಕೋಟಿ ಅಂತ ಪುಂಗಿ ಬಿಟ್ರು ಆದ್ರೆ ಬಕೆಟ್ ಮೂವಿ ಬಡ್ಜೆಟ್ ಏರಿಲ್ಲ ರೆಮ್ಯುನೆರೆಷನ್ ಏರಿಲ್ಲ ಈಗ ಅದೇ ಬಕೆಟ್ ಫಾರ್ಮುಲಾ ರಕ್ಷಿತ್ ಹಿಡಿತವ್ನೆ ಆದ್ರೆ ಈ ಮಂಗ ಮುಂಡೇವು ಏನೇ ಸರ್ಕಸ್ ಮಾಡಿದ್ರು ಪುಂಗಿ ಬಿಟ್ರು ಪ್ರೊಡ್ಯುಸರ್ ಯಾವನ್ ಇವ್ರು ಹತ್ತಿರ ಬರಲ್ಲ ಬಿಡ್ರೋ ಅದೇ ಲೋ ಬಡ್ಜೆಟ್ ಪ್ರೊಡ್ಯುಸರ್ ಬರ್ಬೇಕು ಅಷ್ಟೇ
Not_offensive,Pop corn monkey tiger kuda super idr
Offensive_Untargetede,@BAD BOY yappa Modlu Arta ago Tara type maadu
Not_offensive,@jagadish g dambal
not-Kannada,Only guru randhawa
Not_offensive,Karnataka janeteinda all the best movie ge olledagali🥰🥰
Offensive_Targeted_Insult_Individual,Karnatakakke bandaddela sullu swami swalpa reel biduvaga alochane maadi bidu
Not_offensive,Anna song Super agi helidira sakath agi ide songdabbaaaaa Tiktok
Not_offensive,Dada fans    ಕಡೆಯಿಂದ  ಅಲ್ಲ ದ  ಬೆಸ್ಟ್
Not_offensive,Nija Film ast channagidya nanu nodide nange kandita arta agle Illa
Not_offensive,ರಶ್ಮಿಕಾ ಮದನ ಡಗಾರ್
Not_offensive,Hindi.  ?
Not_offensive,Super Anna Jai D boss
Not_offensive,ನನ್ನ ಕಣ್ಣಂಚ್ಚಲಿ ನೀರು ಬಂತು..Sir ur great
Not_offensive,idu charitre srushtiso avatara...rakshith shetty fans like here
Not_offensive,Nammantavrge spoorti nivu sir
Not_offensive,Binduge saryagi ugithidira good go ahead  we are enjoying well
Not_offensive,ನಾನು ಸುಮಾರು ಈ ಹಾಡನ್ನು ಹದಿನೈದು ಬಾರಿ ನೋಡಿದ್ದೇನೆ ಯಾಕೆ ಗೊತ್ತಿಲ್ಲ ಇನ್ನು ನೋಡಬೇಕು ನೋಡಬೇಕು ಅನಿಸುತ್ತದೆ... ಅದೇತರ ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ಬಾರಿ ನೋಡುತ್ತಲೇ ಇರುವವರು ಲೈಕ್ ಮಾಡಿ
not-Kannada,Mast movie
Offensive_Untargetede,ningappa hutagannavar the best way is 4uíykhfjklbgkkñ
Not_offensive,Tik tok Tarane act madidre hana sigutalva edanne etkondu. Nam government mane manege items kottu Products ready madi adanna videshakka marata madbeku matte nam janakke kamishon kotre voledalva. Nam jangala kayyalli yake kelsa madkotilla .
Not_offensive,Jadesh Kumar Anna.. trailer is dashing
Not_offensive,ಸೂಪರ್ ಬ್ರೋ
Offensive_Untargetede,@Sachin Shetty nYeno alpa swalpa budhi upiyogiside
not-Kannada,shambu baligar sir superrrrrrrr
Offensive_Targeted_Insult_Individual,ನನ್ shata fil ಮಾಡದೆ bro
not-Kannada,Superb bro
Not_offensive,Deserves more views.
Not_offensive,ಅಣ್ಣ ಸರಿಯಾಗಿ ಹೇಳ್ದೆ .. super.
not-Kannada,Hands up fans like here
Not_offensive,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ
not-Kannada,Gta 5 bro
not-Kannada,Hands up
Not_offensive,ಇವರ್ನ ಚೀನಾ ಬೋರ್ಡರ್ಗೆ ಕಳಸಬೇಕು ಗೊತ್ತ ಆಗುತ್ತೆ
Not_offensive,ಗುರು ನಿನಗೆ ಧನ್ಯವಾದಗಳು
not-Kannada,Feels like Rango but its great
Not_offensive,ಕರ್ನಾಟಕದ ಶ್ರೀಮನ್ನಾರಾಯಣ ಬಗ್ಗೆ ತಲೆ ಕೆಡಿಸಿಕೊಳ್ಳಬೇಡಿ promotion ನ ವಿಚಾರವಾಗಿ ಇಲ್ಲಿಗೆ ನಮ್ಮ ಟ್ರೋಲ್‌ಪೇಜ್ ನವರೆ ಸಾಕು..nಕರ್ನಾಟಕದಾಚೆಗೆ ಹೆಚ್ಚಿನ ಪ್ರಮೋಷನ್‌ನ ಅವಶ್ಯಕತೆ ಇದೆ. ಪ್ರಮುಖವಾಗಿ ಉತ್ತರ ಭಾರತದಲ್ಲಿ.nಇದು ಕನ್ನಡಿಗರ ವಿನಂತಿ
not-Kannada,I am watching
not-Kannada,Release in Aboard
Not_offensive,Le tiktok hudugira yella pubg banni  AWM M4 use madodu hege anta helkodtini
Not_offensive,Please ಇನ್ನೊಂದು ಸಾರಿ re release Maadi.
not-Kannada,Nagaraj Shankaranavar Nagaraj Shankaranavar
Not_offensive,Supar friend supar
Offensive_Targeted_Insult_Individual,Kalki you only say brother your name is kalki no then say
Offensive_Targeted_Insult_Individual,🤔🤔🤔 hello thamma navu unity maintain madthivi aithu thorskolo avyashyakathe namgila nin CMT nodid kudle yavan avr fanism bidkodala 🤣🤣 nin kano doddu sede nan maga
Not_offensive,Daily ondhsalanadru ee song na kele kelthivi annovru Attendence haki
Not_offensive,*ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿಸೂ ಅವತಾರ ನೋಡಿ ಅವನೇ ಶ್ರೀಮಾನ್ ನಾರಾಯಣ*
Offensive_Targeted_Insult_Individual,@sharath sharu nin ammun tullge nan tunne sigaka berke sule magne
Not_offensive,Super bro nim vioce ale ede desha Prema full enjoy video super
Not_offensive,@P h Ahamad Bava ಅಣ್ಣ ಒಂದೆರಡು ಪದ ಬಿಟ್ಟು ಇನ್ನೂ ಉಳಿದ ಪದ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಇದೆ ಅಲ್ವಾ?
Not_offensive,ತುಂಬಾ ನಗು ಬಂತು ಗುರು
Not_offensive,Bgm..nnWaiting AVANE SRIMANNARAYAN and YUVARTHNAA
not-Kannada,Most handsome Kannada film industry
Offensive_Targeted_Insult_Individual,Addu. Pubg alla. Guru.  Sumney. Elbedda
